"Year"	"Plot"	"Ring"	"CO2 Treatment"	"Nitrogen Treatment"	"CountOfSpecies"	"CountOfGroup"	"Experiment"	"monospecies"	"Monogroup"	"Water Treatment"	"Temp Treatment"	"Depth"	"Carbon(%)"	"Nitrogen(%)"	"C/N Ratio"
2002	6	1	Cenrich	Namb	4	1	S	 	C-4	 	 	0-10	0.492	0.06	8.2
2002	6	1	Cenrich	Namb	4	1	S	 	C-4	 	 	10-20	0.351	0.03	11.7
2002	6	1	Cenrich	Namb	4	1	S	 	C-4	 	 	20-40	0.16	0.006	26.66666667
2002	6	1	Cenrich	Namb	4	1	S	 	C-4	 	 	40-60	0.148	0.032	4.625
2002	7	1	Cenrich	Namb	9	4	M	 	 	 	 	0-10	0.74	0.138	5.362318841
2002	7	1	Cenrich	Namb	9	4	M	 	 	 	 	10-20	0.466	0.067	6.955223881
2002	7	1	Cenrich	Namb	9	4	M	 	 	 	 	20-40	0.196	0.027	7.259259259
2002	7	1	Cenrich	Namb	9	4	M	 	 	 	 	40-60	0.102	0.003	34
2002	8	1	Cenrich	Nenrich	1	1	M	Schizachyrium scoparium	C-4	 	 	0-10	0.94	0.09	10.44444444
2002	8	1	Cenrich	Nenrich	1	1	M	Schizachyrium scoparium	C-4	 	 	10-20	0.518	0.068	7.617647059
2002	8	1	Cenrich	Nenrich	1	1	M	Schizachyrium scoparium	C-4	 	 	20-40	0.175	0.024	7.291666667
2002	8	1	Cenrich	Nenrich	1	1	M	Schizachyrium scoparium	C-4	 	 	40-60	0.116	0.036	3.222222222
2002	9	1	Cenrich	Namb	4	1	S	 	C-3	 	 	0-10	0.567	0.065	8.723076923
2002	9	1	Cenrich	Namb	4	1	S	 	C-3	 	 	10-20	0.407	0.062	6.564516129
2002	9	1	Cenrich	Namb	4	1	S	 	C-3	 	 	20-40	0.151	0.022	6.863636364
2002	9	1	Cenrich	Namb	4	1	S	 	C-3	 	 	40-60	0.196	0.041	4.780487805
2002	10	1	Cenrich	Nenrich	4	3	M	 	 	 	 	0-10	0.997	0.091	10.95604396
2002	10	1	Cenrich	Nenrich	4	3	M	 	 	 	 	10-20	0.587	0.065	9.030769231
2002	10	1	Cenrich	Nenrich	4	3	M	 	 	 	 	20-40	0.289	0.039	7.41025641
2002	10	1	Cenrich	Nenrich	4	3	M	 	 	 	 	40-60	0.185	0.037	5
2002	11	1	Cenrich	Nenrich	9	4	M	 	 	 	 	0-10	0.883	0.082	10.76829268
2002	11	1	Cenrich	Nenrich	9	4	M	 	 	 	 	10-20	0.775	0.08	9.6875
2002	11	1	Cenrich	Nenrich	9	4	M	 	 	 	 	20-40	0.207	0.028	7.392857143
2002	11	1	Cenrich	Nenrich	9	4	M	 	 	 	 	40-60	0.158	0.028	5.642857143
2002	12	1	Cenrich	Nenrich	9	4	M	 	 	 	 	0-10	0.749	0.075	9.986666667
2002	12	1	Cenrich	Nenrich	9	4	M	 	 	 	 	10-20	0.421	0.058	7.25862069
2002	12	1	Cenrich	Nenrich	9	4	M	 	 	 	 	20-40	0.171	0.02	8.55
2002	12	1	Cenrich	Nenrich	9	4	M	 	 	 	 	40-60	0.172	0.019	9.052631579
2002	13	1	Cenrich	Nenrich	16	4	M	 	 	 	 	0-10	0.788	0.062	12.70967742
2002	13	1	Cenrich	Nenrich	16	4	M	 	 	 	 	10-20	0.586	0.07	8.371428571
2002	13	1	Cenrich	Nenrich	16	4	M	 	 	 	 	20-40	0.279	0.045	6.2
2002	13	1	Cenrich	Nenrich	16	4	M	 	 	 	 	40-60	0.246	0.035	7.028571429
2002	14	1	Cenrich	Namb	4	4	S	 	 	 	 	0-10	0.727	0.07	10.38571429
2002	14	1	Cenrich	Namb	4	4	S	 	 	 	 	10-20	0.611	0.061	10.01639344
2002	14	1	Cenrich	Namb	4	4	S	 	 	 	 	20-40	0.244	0.016	15.25
2002	14	1	Cenrich	Namb	4	4	S	 	 	 	 	40-60	0.175	0.009	19.44444444
2002	15	1	Cenrich	Namb	4	3	M	 	 	 	 	0-10	0.617	0.06	10.28333333
2002	15	1	Cenrich	Namb	4	3	M	 	 	 	 	10-20	0.553	0.043	12.86046512
2002	15	1	Cenrich	Namb	4	3	M	 	 	 	 	20-40	0.328	0.03	10.93333333
2002	15	1	Cenrich	Namb	4	3	M	 	 	 	 	40-60	0.232	0.023	10.08695652
2002	16	1	Cenrich	Namb	9	4	M	 	 	 	 	0-10	0.97	0.076	12.76315789
2002	16	1	Cenrich	Namb	9	4	M	 	 	 	 	10-20	0.765	0.06	12.75
2002	16	1	Cenrich	Namb	9	4	M	 	 	 	 	20-40	0.288	0.028	10.28571429
2002	16	1	Cenrich	Namb	9	4	M	 	 	 	 	40-60	0.181	0.013	13.92307692
2002	17	1	Cenrich	Namb	9	4	M	 	 	 	 	0-10	0.988	0.088	11.22727273
2002	17	1	Cenrich	Namb	9	4	M	 	 	 	 	10-20	0.768	0.079	9.721518987
2002	17	1	Cenrich	Namb	9	4	M	 	 	 	 	20-40	0.387	0.038	10.18421053
2002	17	1	Cenrich	Namb	9	4	M	 	 	 	 	40-60	0.23	0.007	32.85714286
2002	18	1	Cenrich	Nenrich	1	1	M	Amorpha canescens	Legume	 	 	0-10	0.639	0.068	9.397058824
2002	18	1	Cenrich	Nenrich	1	1	M	Amorpha canescens	Legume	 	 	10-20	0.487	0.055	8.854545455
2002	18	1	Cenrich	Nenrich	1	1	M	Amorpha canescens	Legume	 	 	20-40	0.317	0.036	8.805555556
2002	18	1	Cenrich	Nenrich	1	1	M	Amorpha canescens	Legume	 	 	40-60	0.241	0.026	9.269230769
2002	19	1	Cenrich	Namb	4	3	M	 	 	 	 	0-10	0.882	0.081	10.88888889
2002	19	1	Cenrich	Namb	4	3	M	 	 	 	 	10-20	0.677	0.065	10.41538462
2002	19	1	Cenrich	Namb	4	3	M	 	 	 	 	20-40	0.319	0.03	10.63333333
2002	19	1	Cenrich	Namb	4	3	M	 	 	 	 	40-60	0.22	0.023	9.565217391
2002	20	1	Cenrich	Nenrich	4	1	S	 	Forb	 	 	0-10	0.964	0.08	12.05
2002	20	1	Cenrich	Nenrich	4	1	S	 	Forb	 	 	10-20	0.73	0.076	9.605263158
2002	20	1	Cenrich	Nenrich	4	1	S	 	Forb	 	 	20-40	0.407	0.051	7.980392157
2002	20	1	Cenrich	Nenrich	4	1	S	 	Forb	 	 	40-60	0.247	0.025	9.88
2002	21	1	Cenrich	Nenrich	9	4	M	 	 	 	 	0-10	0.659	0.07	9.414285714
2002	21	1	Cenrich	Nenrich	9	4	M	 	 	 	 	10-20	0.586	0.057	10.28070175
2002	21	1	Cenrich	Nenrich	9	4	M	 	 	 	 	20-40	0.292	0.038	7.684210526
2002	21	1	Cenrich	Nenrich	9	4	M	 	 	 	 	40-60	0.242	0.022	11
2002	22	1	Cenrich	Nenrich	1	1	M	Bromus inermis	C-3	 	 	0-10	0.694	0.071	9.774647887
2002	22	1	Cenrich	Nenrich	1	1	M	Bromus inermis	C-3	 	 	10-20	0.605	0.06	10.08333333
2002	22	1	Cenrich	Nenrich	1	1	M	Bromus inermis	C-3	 	 	20-40	0.273	0.026	10.5
2002	22	1	Cenrich	Nenrich	1	1	M	Bromus inermis	C-3	 	 	40-60	0.224	0.028	8
2002	23	1	Cenrich	Namb	16	4	M	 	 	 	 	0-10	0.683	0.071	9.61971831
2002	23	1	Cenrich	Namb	16	4	M	 	 	 	 	10-20	0.569	0.057	9.98245614
2002	23	1	Cenrich	Namb	16	4	M	 	 	 	 	20-40	0.329	0.032	10.28125
2002	23	1	Cenrich	Namb	16	4	M	 	 	 	 	40-60	0.235	0.023	10.2173913
2002	24	1	Cenrich	Namb	1	1	M	Agropyron repens	C-3	 	 	0-10	0.701	0.067	10.46268657
2002	24	1	Cenrich	Namb	1	1	M	Agropyron repens	C-3	 	 	10-20	0.54	0.042	12.85714286
2002	24	1	Cenrich	Namb	1	1	M	Agropyron repens	C-3	 	 	20-40	0.249	0.021	11.85714286
2002	24	1	Cenrich	Namb	1	1	M	Agropyron repens	C-3	 	 	40-60	0.202	0.019	10.63157895
2002	25	1	Cenrich	Nenrich	0	1	M	 	 	 	 	0-10	0.536	0.059	9.084745763
2002	25	1	Cenrich	Nenrich	0	1	M	 	 	 	 	10-20	0.458	0.044	10.40909091
2002	25	1	Cenrich	Nenrich	0	1	M	 	 	 	 	20-40	0.18	0.023	7.826086957
2002	25	1	Cenrich	Nenrich	0	1	M	 	 	 	 	40-60	0.156	0.018	8.666666667
2002	26	1	Cenrich	Namb	9	4	M	 	 	 	 	0-10	1.005	0.083	12.10843373
2002	26	1	Cenrich	Namb	9	4	M	 	 	 	 	10-20	0.612	0.057	10.73684211
2002	26	1	Cenrich	Namb	9	4	M	 	 	 	 	20-40	0.266	0.027	9.851851852
2002	26	1	Cenrich	Namb	9	4	M	 	 	 	 	40-60	0.128	0.018	7.111111111
2002	27	1	Cenrich	Namb	4	1	S	 	Forb	 	 	0-10	0.91	0.069	13.1884058
2002	27	1	Cenrich	Namb	4	1	S	 	Forb	 	 	10-20	0.617	0.047	13.12765957
2002	27	1	Cenrich	Namb	4	1	S	 	Forb	 	 	20-40	0.331	0.038	8.710526316
2002	27	1	Cenrich	Namb	4	1	S	 	Forb	 	 	40-60	0.192	0.028	6.857142857
2002	28	1	Cenrich	Namb	4	2	M	 	 	 	 	0-10	0.671	0.064	10.484375
2002	28	1	Cenrich	Namb	4	2	M	 	 	 	 	10-20	0.533	0.047	11.34042553
2002	28	1	Cenrich	Namb	4	2	M	 	 	 	 	20-40	0.318	0.027	11.77777778
2002	28	1	Cenrich	Namb	4	2	M	 	 	 	 	40-60	0.206	0.023	8.956521739
2002	29	1	Cenrich	Nenrich	4	2	M	 	 	 	 	0-10	0.756	0.07	10.8
2002	29	1	Cenrich	Nenrich	4	2	M	 	 	 	 	10-20	0.47	0.049	9.591836735
2002	29	1	Cenrich	Nenrich	4	2	M	 	 	 	 	20-40	0.322	0.039	8.256410256
2002	29	1	Cenrich	Nenrich	4	2	M	 	 	 	 	40-60	0.261	0.024	10.875
2002	30	1	Cenrich	Nenrich	16	4	M	 	 	 	 	0-10	0.659	0.055	11.98181818
2002	30	1	Cenrich	Nenrich	16	4	M	 	 	 	 	10-20	0.414	0.037	11.18918919
2002	30	1	Cenrich	Nenrich	16	4	M	 	 	 	 	20-40	0.262	0.031	8.451612903
2002	30	1	Cenrich	Nenrich	16	4	M	 	 	 	 	40-60	0.248	0.022	11.27272727
2002	31	1	Cenrich	Nenrich	1	1	M	Asclepias tuberosa	Forb	 	 	0-10	0.717	0.071	10.09859155
2002	31	1	Cenrich	Nenrich	1	1	M	Asclepias tuberosa	Forb	 	 	10-20	0.52	0.057	9.122807018
2002	31	1	Cenrich	Nenrich	1	1	M	Asclepias tuberosa	Forb	 	 	20-40	0.271	0.036	7.527777778
2002	31	1	Cenrich	Nenrich	1	1	M	Asclepias tuberosa	Forb	 	 	40-60	0.179	0.026	6.884615385
2002	32	1	Cenrich	Nenrich	1	1	M	Bouteloua gracilis	C-4	 	 	0-10	0.674	0.07	9.628571429
2002	32	1	Cenrich	Nenrich	1	1	M	Bouteloua gracilis	C-4	 	 	10-20	0.51	0.051	10
2002	32	1	Cenrich	Nenrich	1	1	M	Bouteloua gracilis	C-4	 	 	20-40	0.267	0.031	8.612903226
2002	32	1	Cenrich	Nenrich	1	1	M	Bouteloua gracilis	C-4	 	 	40-60	0.218	0.034	6.411764706
2002	33	1	Cenrich	Namb	16	4	M	 	 	 	 	0-10	0.722	0.067	10.7761194
2002	33	1	Cenrich	Namb	16	4	M	 	 	 	 	10-20	0.637	0.062	10.27419355
2002	33	1	Cenrich	Namb	16	4	M	 	 	 	 	20-40	 	 	 
2002	33	1	Cenrich	Namb	16	4	M	 	 	 	 	40-60	0.183	0.02	9.15
2002	34	1	Cenrich	Nenrich	9	4	M	 	 	 	 	0-10	1	0.073	13.69863014
2002	34	1	Cenrich	Nenrich	9	4	M	 	 	 	 	10-20	0.577	0.058	9.948275862
2002	34	1	Cenrich	Nenrich	9	4	M	 	 	 	 	20-40	0.217	0.023	9.434782609
2002	34	1	Cenrich	Nenrich	9	4	M	 	 	 	 	40-60	0.13	0.015	8.666666667
2002	35	1	Cenrich	Namb	1	1	M	Lespedeza capitata	Legume	 	 	0-10	0.918	0.078	11.76923077
2002	35	1	Cenrich	Namb	1	1	M	Lespedeza capitata	Legume	 	 	10-20	0.559	0.062	9.016129032
2002	35	1	Cenrich	Namb	1	1	M	Lespedeza capitata	Legume	 	 	20-40	0.51	0.051	10
2002	35	1	Cenrich	Namb	1	1	M	Lespedeza capitata	Legume	 	 	40-60	0.276	0.022	12.54545455
2002	36	1	Cenrich	Nenrich	1	1	M	Agropyron repens	C-3	 	 	0-10	0.681	0.064	10.640625
2002	36	1	Cenrich	Nenrich	1	1	M	Agropyron repens	C-3	 	 	10-20	0.522	0.053	9.849056604
2002	36	1	Cenrich	Nenrich	1	1	M	Agropyron repens	C-3	 	 	20-40	0.367	0.044	8.340909091
2002	36	1	Cenrich	Nenrich	1	1	M	Agropyron repens	C-3	 	 	40-60	0.22	0.02	11
2002	37	1	Cenrich	Nenrich	1	1	M	Petalostemum villosum	Legume	 	 	0-10	0.662	0.063	10.50793651
2002	37	1	Cenrich	Nenrich	1	1	M	Petalostemum villosum	Legume	 	 	10-20	0.523	0.055	9.509090909
2002	37	1	Cenrich	Nenrich	1	1	M	Petalostemum villosum	Legume	 	 	20-40	0.404	0.038	10.63157895
2002	37	1	Cenrich	Nenrich	1	1	M	Petalostemum villosum	Legume	 	 	40-60	0.217	0.024	9.041666667
2002	38	1	Cenrich	Nenrich	4	2	M	 	 	 	 	0-10	0.689	0.064	10.765625
2002	38	1	Cenrich	Nenrich	4	2	M	 	 	 	 	10-20	0.588	0.054	10.88888889
2002	38	1	Cenrich	Nenrich	4	2	M	 	 	 	 	20-40	0.417	0.038	10.97368421
2002	38	1	Cenrich	Nenrich	4	2	M	 	 	 	 	40-60	0.226	0.024	9.416666667
2002	39	1	Cenrich	Namb	1	1	M	Bromus inermis	C-3	 	 	0-10	0.566	0.049	11.55102041
2002	39	1	Cenrich	Namb	1	1	M	Bromus inermis	C-3	 	 	10-20	0.495	0.047	10.53191489
2002	39	1	Cenrich	Namb	1	1	M	Bromus inermis	C-3	 	 	20-40	0.374	0.035	10.68571429
2002	39	1	Cenrich	Namb	1	1	M	Bromus inermis	C-3	 	 	40-60	0.22	0.027	8.148148148
2002	40	1	Cenrich	Namb	1	1	M	Poa pratensis	C-3	 	 	0-10	0.528	0.053	9.962264151
2002	40	1	Cenrich	Namb	1	1	M	Poa pratensis	C-3	 	 	10-20	0.522	0.042	12.42857143
2002	40	1	Cenrich	Namb	1	1	M	Poa pratensis	C-3	 	 	20-40	0.247	0.021	11.76190476
2002	40	1	Cenrich	Namb	1	1	M	Poa pratensis	C-3	 	 	40-60	0.258	0.021	12.28571429
2002	41	1	Cenrich	Nenrich	4	1	S	 	C-3	 	 	0-10	0.942	0.083	11.34939759
2002	41	1	Cenrich	Nenrich	4	1	S	 	C-3	 	 	10-20	0.545	0.052	10.48076923
2002	41	1	Cenrich	Nenrich	4	1	S	 	C-3	 	 	20-40	0.302	0.033	9.151515152
2002	41	1	Cenrich	Nenrich	4	1	S	 	C-3	 	 	40-60	0.229	0.02	11.45
2002	42	1	Cenrich	Namb	1	1	M	Solidago rigida	Forb	 	 	0-10	0.581	0.054	10.75925926
2002	42	1	Cenrich	Namb	1	1	M	Solidago rigida	Forb	 	 	10-20	0.613	0.063	9.73015873
2002	42	1	Cenrich	Namb	1	1	M	Solidago rigida	Forb	 	 	20-40	0.291	0.051	5.705882353
2002	42	1	Cenrich	Namb	1	1	M	Solidago rigida	Forb	 	 	40-60	0.224	0.04	5.6
2002	43	1	Cenrich	Nenrich	16	4	M	 	 	 	 	0-10	0.994	0.097	10.24742268
2002	43	1	Cenrich	Nenrich	16	4	M	 	 	 	 	10-20	0.461	0.058	7.948275862
2002	43	1	Cenrich	Nenrich	16	4	M	 	 	 	 	20-40	0.328	0.046	7.130434783
2002	43	1	Cenrich	Nenrich	16	4	M	 	 	 	 	40-60	0.26	0.03	8.666666667
2002	44	1	Cenrich	Nenrich	4	3	M	 	 	 	 	0-10	0.81	0.081	10
2002	44	1	Cenrich	Nenrich	4	3	M	 	 	 	 	10-20	0.477	0.058	8.224137931
2002	44	1	Cenrich	Nenrich	4	3	M	 	 	 	 	20-40	0.439	0.058	7.568965517
2002	44	1	Cenrich	Nenrich	4	3	M	 	 	 	 	40-60	0.194	0.028	6.928571429
2002	45	1	Cenrich	Namb	16	4	M	 	 	 	 	0-10	0.804	0.062	12.96774194
2002	45	1	Cenrich	Namb	16	4	M	 	 	 	 	10-20	0.505	0.051	9.901960784
2002	45	1	Cenrich	Namb	16	4	M	 	 	 	 	20-40	0.377	0.048	7.854166667
2002	45	1	Cenrich	Namb	16	4	M	 	 	 	 	40-60	0.345	0.035	9.857142857
2002	46	1	Cenrich	Namb	1	1	M	Anemone cylindrica	Forb	 	 	0-10	0.732	0.071	10.30985915
2002	46	1	Cenrich	Namb	1	1	M	Anemone cylindrica	Forb	 	 	10-20	0.507	0.054	9.388888889
2002	46	1	Cenrich	Namb	1	1	M	Anemone cylindrica	Forb	 	 	20-40	0.326	0.047	6.936170213
2002	46	1	Cenrich	Namb	1	1	M	Anemone cylindrica	Forb	 	 	40-60	0.214	0.032	6.6875
2002	47	1	Cenrich	Nenrich	1	1	M	Koeleria cristata	C-3	 	 	0-10	0.525	0.062	8.467741935
2002	47	1	Cenrich	Nenrich	1	1	M	Koeleria cristata	C-3	 	 	10-20	0.579	0.062	9.338709677
2002	47	1	Cenrich	Nenrich	1	1	M	Koeleria cristata	C-3	 	 	20-40	0.387	0.05	7.74
2002	47	1	Cenrich	Nenrich	1	1	M	Koeleria cristata	C-3	 	 	40-60	0.312	0.033	9.454545455
2002	48	1	Cenrich	Namb	9	4	M	 	 	 	 	0-10	0.949	0.082	11.57317073
2002	48	1	Cenrich	Namb	9	4	M	 	 	 	 	10-20	0.533	0.054	9.87037037
2002	48	1	Cenrich	Namb	9	4	M	 	 	 	 	20-40	0.373	0.048	7.770833333
2002	48	1	Cenrich	Namb	9	4	M	 	 	 	 	40-60	0.366	0.049	7.469387755
2002	49	1	Cenrich	Nenrich	1	1	M	Achillea millefolium	Forb	 	 	0-10	0.79	0.075	10.53333333
2002	49	1	Cenrich	Nenrich	1	1	M	Achillea millefolium	Forb	 	 	10-20	0.439	0.051	8.607843137
2002	49	1	Cenrich	Nenrich	1	1	M	Achillea millefolium	Forb	 	 	20-40	0.226	0.027	8.37037037
2002	49	1	Cenrich	Nenrich	1	1	M	Achillea millefolium	Forb	 	 	40-60	0.214	0.029	7.379310345
2002	50	1	Cenrich	Nenrich	9	4	M	 	 	 	 	0-10	0.628	0.063	9.968253968
2002	50	1	Cenrich	Nenrich	9	4	M	 	 	 	 	10-20	0.449	0.047	9.553191489
2002	50	1	Cenrich	Nenrich	9	4	M	 	 	 	 	20-40	0.215	0.022	9.772727273
2002	50	1	Cenrich	Nenrich	9	4	M	 	 	 	 	40-60	0.116	0.014	8.285714286
2002	51	1	Cenrich	Namb	16	4	M	 	 	 	 	0-10	0.637	0.071	8.971830986
2002	51	1	Cenrich	Namb	16	4	M	 	 	 	 	10-20	0.476	0.056	8.5
2002	51	1	Cenrich	Namb	16	4	M	 	 	 	 	20-40	0.192	0.024	8
2002	51	1	Cenrich	Namb	16	4	M	 	 	 	 	40-60	0.137	0.019	7.210526316
2002	52	1	Cenrich	Nenrich	16	4	M	 	 	 	 	0-10	0.592	0.059	10.03389831
2002	52	1	Cenrich	Nenrich	16	4	M	 	 	 	 	10-20	0.58	0.065	8.923076923
2002	52	1	Cenrich	Nenrich	16	4	M	 	 	 	 	20-40	0.29	0.034	8.529411765
2002	52	1	Cenrich	Nenrich	16	4	M	 	 	 	 	40-60	0.179	0.02	8.95
2002	53	1	Cenrich	Nenrich	1	1	M	Solidago rigida	Forb	 	 	0-10	0.752	0.073	10.30136986
2002	53	1	Cenrich	Nenrich	1	1	M	Solidago rigida	Forb	 	 	10-20	0.785	0.079	9.936708861
2002	53	1	Cenrich	Nenrich	1	1	M	Solidago rigida	Forb	 	 	20-40	0.255	0.012	21.25
2002	53	1	Cenrich	Nenrich	1	1	M	Solidago rigida	Forb	 	 	40-60	0.164	0.024	6.833333333
2002	54	1	Cenrich	Nenrich	4	1	S	 	C-4	 	 	0-10	0.764	0.074	10.32432432
2002	54	1	Cenrich	Nenrich	4	1	S	 	C-4	 	 	10-20	0.582	0.066	8.818181818
2002	54	1	Cenrich	Nenrich	4	1	S	 	C-4	 	 	20-40	0.237	0.04	5.925
2002	54	1	Cenrich	Nenrich	4	1	S	 	C-4	 	 	40-60	0.148	0.019	7.789473684
2002	55	1	Cenrich	Namb	1	1	M	Lupinus perennis	Legume	 	 	0-10	0.661	0.07	9.442857143
2002	55	1	Cenrich	Namb	1	1	M	Lupinus perennis	Legume	 	 	10-20	0.586	0.063	9.301587302
2002	55	1	Cenrich	Namb	1	1	M	Lupinus perennis	Legume	 	 	20-40	0.225	0.029	7.75862069
2002	55	1	Cenrich	Namb	1	1	M	Lupinus perennis	Legume	 	 	40-60	0.206	0.026	7.923076923
2002	56	1	Cenrich	Namb	4	1	S	 	Legume	 	 	0-10	0.593	0.062	9.564516129
2002	56	1	Cenrich	Namb	4	1	S	 	Legume	 	 	10-20	0.503	0.055	9.145454545
2002	56	1	Cenrich	Namb	4	1	S	 	Legume	 	 	20-40	0.23	0.028	8.214285714
2002	56	1	Cenrich	Namb	4	1	S	 	Legume	 	 	40-60	0.17	0.003	56.66666667
2002	57	1	Cenrich	Namb	1	1	M	Schizachyrium scoparium	C-4	 	 	0-10	0.558	0.059	9.457627119
2002	57	1	Cenrich	Namb	1	1	M	Schizachyrium scoparium	C-4	 	 	10-20	0.457	0.053	8.622641509
2002	57	1	Cenrich	Namb	1	1	M	Schizachyrium scoparium	C-4	 	 	20-40	0.225	0.028	8.035714286
2002	57	1	Cenrich	Namb	1	1	M	Schizachyrium scoparium	C-4	 	 	40-60	0.106	0.015	7.066666667
2002	58	1	Cenrich	Nenrich	4	3	M	 	 	 	 	0-10	0.715	0.075	9.533333333
2002	58	1	Cenrich	Nenrich	4	3	M	 	 	 	 	10-20	0.527	0.056	9.410714286
2002	58	1	Cenrich	Nenrich	4	3	M	 	 	 	 	20-40	0.257	0.037	6.945945946
2002	58	1	Cenrich	Nenrich	4	3	M	 	 	 	 	40-60	0.123	0.016	7.6875
2002	59	1	Cenrich	Nenrich	4	4	S	 	 	 	 	0-10	0.711	0.072	9.875
2002	59	1	Cenrich	Nenrich	4	4	S	 	 	 	 	10-20	0.606	0.066	9.181818182
2002	59	1	Cenrich	Nenrich	4	4	S	 	 	 	 	20-40	0.248	0.042	5.904761905
2002	59	1	Cenrich	Nenrich	4	4	S	 	 	 	 	40-60	0.164	0.018	9.111111111
2002	60	1	Cenrich	Nenrich	1	1	M	Andropogon gerardi	C-4	 	 	0-10	0.829	0.077	10.76623377
2002	60	1	Cenrich	Nenrich	1	1	M	Andropogon gerardi	C-4	 	 	10-20	0.636	0.069	9.217391304
2002	60	1	Cenrich	Nenrich	1	1	M	Andropogon gerardi	C-4	 	 	20-40	0.271	0.036	7.527777778
2002	60	1	Cenrich	Nenrich	1	1	M	Andropogon gerardi	C-4	 	 	40-60	0.152	0.018	8.444444444
2002	61	1	Cenrich	Namb	0	1	M	 	 	 	 	0-10	0.647	0.066	9.803030303
2002	61	1	Cenrich	Namb	0	1	M	 	 	 	 	10-20	0.41	0.046	8.913043478
2002	61	1	Cenrich	Namb	0	1	M	 	 	 	 	20-40	0.243	0.042	5.785714286
2002	61	1	Cenrich	Namb	0	1	M	 	 	 	 	40-60	0.122	0.018	6.777777778
2002	62	2	Camb	Namb	4	4	S	 	 	 	 	0-10	1.561	0.144	10.84027778
2002	62	2	Camb	Namb	4	4	S	 	 	 	 	10-20	0.507	0.058	8.74137931
2002	62	2	Camb	Namb	4	4	S	 	 	 	 	20-40	0.36	0.046	7.826086957
2002	62	2	Camb	Namb	4	4	S	 	 	 	 	40-60	0.287	0.041	7
2002	63	2	Camb	Namb	4	3	M	 	 	 	 	0-10	0.655	0.072	9.097222222
2002	63	2	Camb	Namb	4	3	M	 	 	 	 	10-20	0.52	0.06	8.666666667
2002	63	2	Camb	Namb	4	3	M	 	 	 	 	20-40	0.288	0.044	6.545454545
2002	63	2	Camb	Namb	4	3	M	 	 	 	 	40-60	0.268	0.047	5.70212766
2002	64	2	Camb	Nenrich	16	4	M	 	 	 	 	0-10	0.6	0.063	9.523809524
2002	64	2	Camb	Nenrich	16	4	M	 	 	 	 	10-20	0.517	0.057	9.070175439
2002	64	2	Camb	Nenrich	16	4	M	 	 	 	 	20-40	0.353	0.05	7.06
2002	64	2	Camb	Nenrich	16	4	M	 	 	 	 	40-60	0.236	0.038	6.210526316
2002	65	2	Camb	Nenrich	9	4	M	 	 	 	 	0-10	0.805	0.077	10.45454545
2002	65	2	Camb	Nenrich	9	4	M	 	 	 	 	10-20	0.563	0.06	9.383333333
2002	65	2	Camb	Nenrich	9	4	M	 	 	 	 	20-40	0.514	0.064	8.03125
